"Target","Result","Left","Right","Condition","Regex","Explanation","Date","LangueDepart","LangueDestination"
"ˈiɛ","ˈie","","{C?̬?r?V,#}","","","open syllable ˈiɛ>ˈie","600","latin phonétique","français"
"ˈuɔ","ˈuo","","{C?̬?r?V,#}","","","open syllable ˈuɔ>uˈo","600","latin phonétique","français"
"ˈaɛ̯","ˈɛ","","{C?̬?r?V,#}","","","open syllable ˈaɛ̯>ˈɛ","600","latin phonétique","français"
"ˈiɛ̯","ˈie̯","","jC","","","ˈiɛ̯+j closed syllable>ˈie̯","600","latin phonétique","français"
"ˈuɔ̯","ˈuo̯","","jC","","","ˈuɔ̯+j closed syllable>ˈuo̯","600","latin phonétique","français"
"a","ə","","C?#","","","final a>ə","600","latin phonétique","français"
"V_SANS_A","ə","C_SANS_L SON","C?#","","","Vowel in final syllable other than a after cons+l,r,m,n>ə","600","latin phonétique","français"
"V_SANS_A","","!(C_SANS_L SON)","C?#","","","Vowel in final syllable other than a>zero","600","latin phonétique","français"
"{d,δ}s","ts","","#","","","d, δ before s final>t","600","latin phonétique","français"
"{p,v}","f","","{s,t}","","","p, v before s, t >f","600","latin phonétique","français"
"m","n","","{s,t}","","","m before s, t >n","600","latin phonétique","français"
"ts̬","ts","","","","","ts̬ > ts","600","latin phonétique","français"
"ts̬","ts","wcpbtdkgmnfvszljrʀδŋçθx","","","","ts̬ > ts after consonants","600","latin phonétique","français"
"jdz̬","i̬dz","aeouiyɛɔə","aeouiyɛɔə","","","intervocalic jdz̬ >i̬dz","600","latin phonétique","français"
"dʒ̬","dʒ","","","","","dʒ̬ > dʒ","600","latin phonétique","français"
"tʃ̬","tʃ","","","","","tʃ̬ > tʃ","600","latin phonétique","français"
"jz̬","i̯z","","","","","jz̬ > i̯z","600","latin phonétique","français"
"js̬s̬","i̯z","","","","","js̬s̬ > i̯s","600","latin phonétique","français"
"jr̬","i̯r","","","","","jr̬ > i̯r","600","latin phonétique","français"
"","\1","","","","([wcpbtdkgmnfvszljrʀδŋçθx]̬?)\1","simplification of double consonants","600","latin phonétique","français"
"l̬s","l̬ts","","","","","l̬s>l̬ts","610","latin phonétique","français"
"{t,d,δ}","t","","t","","","t, d, δ before t>tt","610","latin phonétique","français"
"n̬","i̯n̬","","#","","","final n̬ > i̯n̬","610","latin phonétique","français"
"l̬ts","ɫts","","","","","l̬ts>ɫts","620","latin phonétique","français"
"tt","t","","","","","tt>t","620","latin phonétique","français"
"ɛ","e","","N","","","ɛ+n,m > e","650","latin phonétique","français"
"ɔ","o","","N","","","ɔ+n,m > o","650","latin phonétique","français"
"b","p","","#","","","final b>p","650","latin phonétique","français"
"d","t","","#","","","final d>t","650","latin phonétique","français"
"g","k","","#","","","final g>k","650","latin phonétique","français"
"δ","θ","","#","","","final δ>θ","650","latin phonétique","français"
"v","f","","#","","","final v>f","650","latin phonétique","français"
"z","s","","#","","","final z>s","650","latin phonétique","français"
"u","y","Cˈ?","C","","","u>y","700","latin phonétique","français"
"l","ɫ","","C_SANS_L","","","l>ɫ  before consonant","700","latin phonétique","français"
"ˈie̯j","ˈi","","C","","","ˈie̯j closed syllable>ˈi","800","latin phonétique","français"
"ˈuo̯j","ˈyi̯","","C","","","ˈuo̯j closed syllable>ˈyi̯","800","latin phonétique","français"
"{t,θ}","","V̯?","#","","","final t or θ after vowel>zero","800","latin phonétique","français"
"δ","","V̯?","ˈ?V","","","intervocalic δ>zero","800","latin phonétique","français"
"δr","r","V̯?","ˈ?V","","","intervocalic δr>r","800","latin phonétique","français"
"f","","","{s,t}","","","f before s, t >zero","800","latin phonétique","français"
"j","i̯","V","V","","","diphtongaison of intervocalic j","800","latin phonétique","français"
"jr̬","i̯r","V","ˈ?V","","","intervocalic jr̬ > i̯r","800","latin phonétique","français"
"j","i̯","","{s,t}","","","j+ t,s > i̯","800","latin phonétique","français"
"ˈai̯","ˈaĩ̯","","N","","","ˈai̯+n,m > ˈaĩ̯","900","latin phonétique","français"
"ˈei̯","ˈeĩ̯","","N","","","ˈei̯+n,m > ˈeĩ̯","900","latin phonétique","français"
"ˈou̯","ˈoũ̯","","N","","","ˈou̯ + n,m> ˈoũ̯","900","latin phonétique","français"
"ˈie","ˈiẽ","","N","","","ˈie + n,m> ˈiẽ","900","latin phonétique","français"
"ˈuo","ˈuõ","","N","","","ˈuo + n,m> ˈuõ","900","latin phonétique","français"
"ˈoi̯","ˈoĩ̯","","N","","","ˈoi̯ + n,m> ˈoĩ̯","900","latin phonétique","français"
"m","n","","#","","","final m>n in monosyllabic","900","latin phonétique","français"
"ˈɛ","ˈe","","{C?̬?r?V,#}","","","open syllable ˈɛ>ˈe","1000","latin phonétique","français"
"e","ə","#k","Cr?V","","","inital palatal+unaccentuatede open syllable > ə","1000","latin phonétique","français"
"a","ə","#C","ˈ?V","","","a in hiatus initial unaccentuated syllable>ə","1000","latin phonétique","français"
"e","ə","#C","CˈV","","","e>ə initial unaccentuated free syllable","1000","latin phonétique","français"
"a","ɑ̃","","N","","","a+n,m > ɑ̃","1000","latin phonétique","français"
"e","ẽ","","N","","","e+n,m > ẽ","1000","latin phonétique","français"
"ˈaĩ̯","ˈãĩ̯","","","","","ˈaĩ̯ > ˈãĩ̯","1000","latin phonétique","français"
"ˈeĩ̯","ˈẽĩ̯","","","","","ˈeĩ̯ > ˈẽĩ̯","1000","latin phonétique","français"
"ˈuõ","ˈyẽ","","N","","","ˈuõ > ˈyẽ","1000","latin phonétique","français"
"gw","g","","","","","gw>g (germanic gw)","1000","latin phonétique","français"
"kʷ","k","{C,#}","","","","kʷ>k initial or after consonant","1000","latin phonétique","français"
"gʷ","g","C","","","","gʷ>g after consonant","1000","latin phonétique","français"
"ɫ","u̯","","C","","","ɫ >u̯ before consonant","1000","latin phonétique","français"
"ˈɛu̯","ˈɛau̯","","C","","","ˈɛu̯ before consonant > ˈɛau̯","1010","latin phonétique","français"
"ɫ","u̯","","C","","","ɫ >u̯ before consonant","1010","latin phonétique","français"
"u̯","","{i,y}","","","","u̯>zero after i or y","1020","latin phonétique","français"
"ˈou̯","ˈeu̯","","{C?̬?r?V,#}","","","open syllable ˈou̯>ˈeu̯","1050","latin phonétique","français"
"ẽ","ɑ̃","!(ˈi)","","","","ẽ without ˈi before> ɑ̃","1050","latin phonétique","français"
"z","","","C_VOISEE","","","disparition of z before sonore consonants","1050","latin phonétique","français"
"ˈo","ˈu","","{r,s}C","","","accentuated o in closed syllable> u","1100","latin phonétique","français"
"ˈɔ{s,z}","ˈo","","C?","","","accentuated ɔ before s,z> o, s out","1100","latin phonétique","français"
"ˈɔ","ˈu","","{s,z}Cə","","","accentuated ɔ before s,z and ə> u","1100","latin phonétique","français"
