"Pattern","Replacement","Explanation","Date"
"*k","κ (k)","grec ancien","-inf"
"*k","c","latin","-inf"
"*k","c","osque","-inf"
"*k","c","gallois","-inf"
"*k","-g-","gallois","-inf"
"*k","ch","gallois, après r, l","-inf"
"*k","g","gallois, avant r, l","-inf"
"*k","c","gaulois","-inf"
"*k","c","vieil irlandais","-inf"
"*k","-ch-","vieil irlandais","-inf"
"*k","h","gotique","-inf"
"*k","-g-","gotique","-inf"
"*k","h","norrois","-inf"
"*k","-g-","norrois","-inf"
"*k","h","vieux haut allemand","-inf"
"*k","-g-","vieux haut allemand","-inf"
"*k","h","anglo-saxon","-inf"
"*k","-g-","anglo-saxon","-inf"
"*k","-y-","anglo-saxon, après voyelle atone","-inf"
"*k","k","albanais","-inf"
"*k","q","albanais, avant palatale","-inf"
"*k","kh","arménien classique","-inf"
"*k","g","arménien classique, après n","-inf"
"*k","k","lituanien","-inf"
"*k","k","letton","-inf"
"*k","c","letton, avant palatale","-inf"
"*k","k","vieux-slave","-inf"
"*k","c","vieux-slave, avant *ai, *oi","-inf"
"*k","č","vieux-slave, avant palatale","-inf"
"*k","k","avestique","-inf"
"*k","x","avestique, avant consonne","-inf"
"*k","č","avestique, avant palatale","-inf"
"*k","k","sanskrit","-inf"
"*k","c","sanskrit, avant palatale","-inf"
"*k","k","tokharien","-inf"
"*k","ś1","tokharien","-inf"
"*k","14","tokharien","-inf"
"*k","k/g","hittite","-inf"
"*g","γ (g)","grec ancien","-inf"
"*g","g","latin","-inf"
"*g","g","osque","-inf"
"*g","g","gallois","-inf"
"*g","i/Ø/ch","gallois, après r, l","-inf"
"*g","","gallois, amuïssement, après n","-inf"
"*g","g","gaulois","-inf"
"*g","-g-/-Ø-","gaulois","-inf"
"*g","g/c/x","gaulois, après r, l","-inf"
"*g","g","vieil irlandais","-inf"
"*g","g/c","vieil irlandais, après n","-inf"
"*g","k","gotique","-inf"
"*g","k","norrois","-inf"
"*g","k","vieux haut allemand","-inf"
"*g","hh","vieux haut allemand","-inf"
"*g","k","anglo-saxon","-inf"
"*g","ch","anglo-saxon, avant palatale","-inf"
"*g","g","albanais","-inf"
"*g","gj","albanais, avant palatale","-inf"
"*g","k","arménien classique","-inf"
"*g","g","lituanien","-inf"
"*g","g","letton","-inf"
"*g","dz","letton, avant palatale","-inf"
"*g","g","vieux-slave","-inf"
"*g","dž/ž","vieux-slave, avant palatale","-inf"
"*g","dz","vieux-slave, avant palatale","-inf"
"*g","g...gh","avestique","-inf"
"*g","j","avestique, avant palatale","-inf"
"*g","g","sanskrit","-inf"
"*g","j","sanskrit, avant palatale","-inf"
"*g","k","tokharien","-inf"
"*g","ś","tokharien, avant palatale","-inf"
"*g","k/g","hittite","-inf"
"*gʰ","χ (kh)","grec ancien","-inf"
"*gʰ","h","latin","-inf"
"*gʰ","h","osque","-inf"
"*gʰ","g","gallois","-inf"
"*gʰ","i/Ø/ch","gallois, après r, l","-inf"
"*gʰ","","gallois, amuïssement, après n","-inf"
"*gʰ","g","gaulois","-inf"
"*gʰ","-g-/-Ø-","gaulois","-inf"
"*gʰ","g/c/x","gaulois, après r, l","-inf"
"*gʰ","g","vieil irlandais","-inf"
"*gʰ","g/c","vieil irlandais, après n","-inf"
"*gʰ","g","gotique","-inf"
"*gʰ","g","norrois","-inf"
"*gʰ","g","vieux haut allemand","-inf"
"*gʰ","g","anglo-saxon","-inf"
"*gʰ","-y-/-w-","anglo-saxon","-inf"
"*gʰ","g","albanais","-inf"
"*gʰ","g","arménien classique","-inf"
"*gʰ","ĵ","arménien classique, avant palatale","-inf"
"*gʰ","g","lituanien","-inf"
"*gʰ","g","letton","-inf"
"*gʰ","dz","letton, avant palatale","-inf"
"*gʰ","g","vieux-slave","-inf"
"*gʰ","dž/ž","vieux-slave, avant palatale","-inf"
"*gʰ","dz","vieux-slave, avant palatale","-inf"
"*gʰ","g...gh","avestique","-inf"
"*gʰ","j","avestique, avant palatale","-inf"
"*gʰ","gh","sanskrit","-inf"
"*gʰ","j","sanskrit, avant palatale","-inf"
"*gʰ","k","tokharien","-inf"
"*gʰ","ś","tokharien, avant palatale","-inf"
"*gʰ","k/g","hittite","-inf"
"*kw","π (p)","grec ancien","-inf"
"*kw","τ (t)","grec ancien, avant palatale","-inf"
"*kw","κ (k)","grec ancien, entre u- -u","-inf"
"*kw","qu","latin","-inf"
"*kw","c","latin, avant ou après o ou u","-inf"
"*kw","p","osque","-inf"
"*kw","p","gallois","-inf"
"*kw","-b-","gallois","-inf"
"*kw","ff","gallois, après r, l","-inf"
"*kw","b","gallois, avant r, l","-inf"
"*kw","p","gaulois","-inf"
"*kw","c","vieil irlandais","-inf"
"*kw","-ch-","vieil irlandais","-inf"
"*kw","hw/gw","gotique","-inf"
"*kw","w","gotique, après voyelle atone","-inf"
"*kw","hv/g","norrois","-inf"
"*kw","v","norrois, après voyelle atone","-inf"
"*kw","w/g","vieux haut allemand","-inf"
"*kw","w","vieux haut allemand, après voyelle atone","-inf"
"*kw","hw/g","anglo-saxon","-inf"
"*kw","w","anglo-saxon, après voyelle atone","-inf"
"*kw","k","albanais","-inf"
"*kw","s","albanais, avant palatale","-inf"
"*kw","q","albanais, avant palatale","-inf"
"*kw","kh","arménien classique","-inf"
"*kw","g","arménien classique, après n","-inf"
"*kw","k","lituanien","-inf"
"*kw","k","letton","-inf"
"*kw","c","letton, avant palatale","-inf"
"*kw","k","vieux-slave","-inf"
"*kw","c","vieux-slave, avant *ai, *oi","-inf"
"*kw","č","vieux-slave, avant palatale","-inf"
"*kw","k","avestique","-inf"
"*kw","x","avestique, avant consonne","-inf"
"*kw","č","avestique, avant palatale","-inf"
"*kw","k","sanskrit","-inf"
"*kw","c","sanskrit, avant palatale","-inf"
"*kw","k(u)","tokharien","-inf"
"*kw","ś1","tokharien","-inf"
"*kw","14","tokharien","-inf"
"*kw","ku","hittite","-inf"
"*gw","β (b)","grec ancien","-inf"
